菜名,分类,主要食材,喜爱,用时(分钟),难度,食材1,食材2,食材3,食材4,食材5
羊肚菌酿肉,big_meat,猪肉,4,40,medium,羊肚菌,猪肉末,,,
糖醋排骨,big_meat,猪肉,4,60,medium,猪肋排,,,,
红烧肉加鸡蛋,big_meat,猪肉,4,70,medium,五花肉,鸡蛋,,,
红烧鸡翅,big_meat,鸡肉,5,35,easy,鸡翅中,,,,
照烧鸡腿排,big_meat,鸡肉,3,30,easy,鸡腿肉,,,,
香菇炖鸡,big_meat,鸡肉,3,80,medium,土鸡,干香菇,,,
清蒸虾,seafood,虾,4,15,easy,斑节虾,,,,
清蒸鲈鱼,seafood,鱼,3,20,easy,鲈鱼,,,,
家烧黄鱼,seafood,鱼,4,30,medium,大黄鱼,,,,
照烧三文鱼,seafood,鱼,3,15,easy,三文鱼排,柠檬,,,
炒蛏子,seafood,贝壳,4,15,easy,蛏子,,,,
烤羊排,big_meat,羊肉,4,90,medium,羊排,洋葱,土豆,,
酱牛肉,big_meat,牛肉,4,120,medium,牛腱子,,,,
土豆炖牛腩,big_meat,牛肉,3,100,medium,牛腩,土豆,胡萝卜,洋葱,
番茄炖牛腩,big_meat,牛肉,3,100,medium,牛腩,番茄,土豆,洋葱,
炒猪肝,big_meat,内脏,4,20,medium,猪肝,青椒,洋葱,,
南瓜蒸排骨,big_meat,猪肉,2,50,easy,猪肋排,南瓜,,,
宝宝版清蒸鳕鱼,seafood,鱼,2,15,easy,鳕鱼块,,,,
肉末烧豆腐,small_meat,豆腐,3,20,easy,嫩豆腐,猪肉末,,,
韭菜炒蛋,small_meat,鸡蛋,3,10,easy,韭菜,鸡蛋,,,
番茄炒蛋,small_meat,鸡蛋,4,10,easy,番茄,鸡蛋,,,
木须肉,small_meat,猪肉,3,20,easy,猪肉片,鸡蛋,黄瓜,黑木耳,胡萝卜
虾仁蒸蛋,small_meat,虾,2,20,easy,鸡蛋,虾仁,,,
宝宝肉饼蒸蛋,small_meat,猪肉,2,25,easy,猪肉末,鸡蛋,,,
胡萝卜土豆炖肉丸,small_meat,猪肉,2,45,easy,猪肉末,胡萝卜,土豆,,
番茄肉酱面,staple,猪肉,2,20,easy,猪肉末,番茄,洋葱,面条,
豆腐鱼肉丸,small_meat,鱼,2,30,medium,鲈鱼肉,嫩豆腐,,,
蔬菜蛋饺,small_meat,鸡蛋,2,40,medium,鸡蛋,猪肉末,白菜,,
宝宝版宫保鸡丁,small_meat,鸡肉,2,20,easy,鸡胸肉,黄瓜,胡萝卜,,
手撕包菜,vegetable,蔬菜,3,10,easy,包菜,,,,
芹菜香干,vegetable,蔬菜,4,10,easy,芹菜,香干,,,
蒜蓉时蔬,vegetable,蔬菜,5,5,easy,时蔬,,,,
西兰花炒胡萝卜,vegetable,蔬菜,3,15,easy,西兰花,胡萝卜,,,
蒸南瓜,staple,蔬菜,2,20,easy,老南瓜,,,,
土豆泥,staple,蔬菜,2,25,easy,土豆,牛奶,,,
玉米排骨汤,soup,猪肉,3,80,easy,猪肋排,甜玉米,胡萝卜,,
萝卜牛肉汤,soup,牛肉,3,80,easy,牛腩,白萝卜,,,
番茄鸡蛋汤,soup,鸡蛋,3,15,easy,番茄,鸡蛋,,,
紫菜鸡蛋汤,soup,鸡蛋,3,10,easy,紫菜,鸡蛋,虾皮,,
冬瓜汆丸子,soup,猪肉,2,30,easy,猪肉末,冬瓜,,,
丝瓜炒蛋,soup,鸡蛋,2,15,easy,丝瓜,鸡蛋,,,
玉米浓汤,staple,蔬菜,2,20,easy,甜玉米,牛奶,洋葱,,
青菜肉末粥,staple,猪肉,2,40,easy,大米,猪肉末,青菜,,
肉末炒蘑菇,small_meat,猪肉,3,15,easy,猪肉末,口蘑,,,
口蘑炒蛋,small_meat,鸡蛋,3,10,easy,口蘑,鸡蛋,,,
番茄肉末意面,staple,猪肉,2,20,easy,猪肉末,番茄,洋葱,意面,
蛋炒饭,staple,鸡蛋,3,10,easy,米饭,鸡蛋,,,
鲜肉馄饨,staple,猪肉,2,30,medium,猪肉末,馄饨皮,白菜,,
饺子,staple,猪肉,3,30,medium,猪肉末,饺子皮,白菜,,
